siren,date_cloture_exercice,annee_exercice,Chiffre_d_affaires,Resultat_net,marge_nette_clean,croissance_CA_clean,segment_CA,type_bilan,periode_analyse_valide,outlier_financier
353665284,2022-12-31,2022,4991771000,-11734000,-0.0023506687305968163,0.13721445312784772,Grande entreprise,K,1,0
353665284,2023-12-31,2023,5242360000,136000,2.5942514440061347e-05,0.05020041985099076,Très grande entreprise,K,1,0
353665284,2024-12-31,2024,5142768000,-103615000,-0.020147710338090305,-0.018997550721430806,Très grande entreprise,K,1,0
377913728,2016-06-30,2016,1325100000,60800000,0.04588332956003321,,Entreprise milliardaire,K,1,0
377913728,2019-06-30,2019,1390700000,77900000,0.05601495649672827,0.04950569768319372,Entreprise milliardaire,K,1,0
377913728,2020-06-30,2020,1435200000,67500000,0.04703177257525084,0.03199827425037751,Entreprise milliardaire,K,1,0
377913728,2022-06-30,2022,1587200000,954000000,0.6010584677419355,0.10590858416945373,Entreprise milliardaire,K,1,0
377913728,2023-06-30,2023,1894400000,94600000,0.04993665540540541,0.1935483870967742,Entreprise milliardaire,K,1,0
379548001,2016-12-31,2016,1275130340,13424352,0.010527827296462886,,Entreprise milliardaire,C,1,0
379548001,2017-12-31,2017,1366824832,5032576,0.003681946568556343,0.07190989746193319,Entreprise milliardaire,C,1,0
379548001,2018-12-31,2018,1524068272,9792723,0.006425383416157095,0.11504286161520366,Entreprise milliardaire,C,1,0
379548001,2019-12-31,2019,1498028912,11978135,0.00799593045504585,-0.017085428834384922,Entreprise milliardaire,C,1,0
379548001,2020-12-31,2020,1034232521,11970272,0.011574062657037643,-0.30960443238761737,Entreprise milliardaire,C,1,0
379548001,2021-12-31,2021,1287665008,12504879,0.009711282765556056,0.24504401268967638,Entreprise milliardaire,C,1,0
379548001,2022-12-31,2022,1742415576,16482424,0.009459525171278658,0.35315906324605195,Entreprise milliardaire,C,1,0
379548001,2023-12-31,2023,1523363637,17452635,0.011456644084251566,-0.12571739028118054,Entreprise milliardaire,C,1,0
379548001,2024-12-31,2024,1413148503,17677866,0.0125095600090658,-0.07234985221063144,Entreprise milliardaire,C,1,0
